Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2011,June,Sinomach,$220 ,,,Energy,,Sudan,Arab Middle East and North Africa,0
2011,June,Heilongjiang Beidahuang Nongken,"$1,510 ",,Cresud,Agriculture,,Argentina,South America,0
2011,June,ICBC,$680 ,75%,Standard Bank,Finance,Banking,Argentina,South America,0
2011,June,Suning Appliance,$110 ,31%,Laox,Other,Consumer,Japan,East Asia,0
2011,June,Dreal Group,"$1,190 ",70%,Mar Grandioso,Real estate,Property,Angola,Sub-Saharan Africa,0
2011,June,HNA,$270 ,,Carlyle,Real estate,Property,United States,USA,0
2011,June,Lenovo,$670 ,82%,Medion,Technology,,Germany,Europe,0
2011,June,BAIC,$270 ,100%,Inalfa Roof Systems,Transport,Autos,Netherlands,Europe,0
2011,June,Fuyao Glass,$200 ,,,Transport,Autos,Russia,West Asia,0
2011,June,Three Gorges,"$2,290 ",50%,EuroSibEnergo,Energy,,Russia,West Asia,0
2011,June,Gold One,$250 ,,Rand Uranium,Metals,,South Africa,Sub-Saharan Africa,1
2011,July,Sinohydro,"$1,970 ",,Zesco,Energy,Hydro,Zambia,Sub-Saharan Africa,0
2011,July,Tebian Electric Apparatus,$390 ,,Kyrgyz National Grid,Energy,,Kyrgyzstan,West Asia,1
2011,July,MCC,$240 ,,MMK,Metals,Steel,Russia,West Asia,0
2011,July,China Railway Engineering,$200 ,,Tongi-Bhairab 1,Transport,Rail,Bangladesh,West Asia,1
2011,July,Sinopec,$200 ,,,Agriculture,,Saudi Arabia,Arab Middle East and North Africa,1
2011,July,Beijing Enterprises,$330 ,,,Utilities,,Malaysia,East Asia,1
2011,July,COFCO,$140 ,99%,Tully Sugar,Agriculture,,Australia,Australia,0
2011,July,Guodian,$260 ,70%,Farm Owned Power,Energy,Alternative,Canada,North America,0
2011,July,Shenhua,"$1,010 ",21%,Mitsui and Peabody,Energy,Coal,Mongolia,East Asia,1
2011,July,CNOOC,"$2,040 ",100%,Opti Canada,Energy,Oil,Canada,North America,0
2011,July,Jinchuan,"$1,360 ",100%,Metorex,Metals,Copper,South Africa,Sub-Saharan Africa,1
2011,July,Jilin Nonferrous,$930 ,,,Metals,Steel,Indonesia,East Asia,1
2011,July,Sinosteel,$300 ,,,Metals,,Zimbabwe,Sub-Saharan Africa,0
2011,July,Haier,$130 ,,Panasonic,Other,Consumer,Japan,East Asia,0
2011,July,CITIC,$420 ,100%,KSM Castings,Transport,Autos,Germany,Europe,0
2011,July,Chery Auto,$170 ,,Socma,Transport,Autos,Argentina,South America,0
2011,August,Sinomach,$150 ,,,Agriculture,,Sudan,Arab Middle East and North Africa,0
2011,August,China Communications Construction,$100 ,,,Agriculture,,Sudan,Arab Middle East and North Africa,0
2011,August,Sinopec,$130 ,,SABIC,Chemicals,,Saudi Arabia,Arab Middle East and North Africa,1
2011,August,"China National Chemical Engineering, Dongfang Electric, and China Energy Engineering","$1,300 ",,Electricite de Vietnam,Energy,Coal,Vietnam,East Asia,1
2011,August,Three Gorges,$450 ,,,Energy,Hydro,Guinea,Sub-Saharan Africa,0
2011,August,Sinohydro,$270 ,,Areva,Metals,,Niger,Sub-Saharan Africa,0
2011,August,China Railway Construction,$340 ,,,Transport,Rail,Georgia,West Asia,1
2011,August,Bright Foods,$390 ,75%,Manassen Foods,Agriculture,,Australia,Australia,0
2011,August,Sinomach,$170 ,,,Agriculture,,Jamaica,North America,0
2011,August,CIC,$360 ,19%,AES and POSCO,Energy,Coal,Vietnam,East Asia,1
2011,August,Yankuang,$210 ,100%,Syntech,Energy,Coal,Australia,Australia,0
2011,August,CIC,"$3,240 ",30%,GDF Suez,Energy,,France,Europe,0
2011,August,SAFE,$720 ,3%,Munich Re,Finance,,Germany,Europe,0
2011,August,Jilin Nonferrous,$400 ,,,Metals,,Canada,North America,0
2011,August,"Taiyuan Iron, CITIC, Baosteel","$1,950 ",15%,CBMM,Metals,,Brazil,South America,0
2011,August,Guangdong Midea,$230 ,51%,Carrier's Latin American Operations,Other,Industry,United States,USA,0
2011,August,JAC Motors,$100 ,20%,SHC,Transport,Autos,Brazil,South America,0
2011,August,HNA,$530 ,50%,GE SeaCo,Logistics,,Singapore,East Asia,1
2011,September,Power Construction Corp,$150 ,50%,GE,Energy,Gas,Egypt,Arab Middle East and North Africa,1
2011,September,CNPC,$500 ,50%,Tanzania Petroleum Development,Energy,Gas,Tanzania,Sub-Saharan Africa,0
2011,September,Power Construction Corp,$160 ,,,Energy,Hydro,Zambia,Sub-Saharan Africa,0
2011,September,China Nonferrous,$930 ,,KALCO,Metals,Aluminum,Iran,West Asia,1
2011,September,Henan Guoju,$440 ,,,Real estate,Construction,Mozambique,Sub-Saharan Africa,0
2011,September,Jiangxi International Economic and Technical Cooperation,$100 ,,,Transport,Autos,Ghana,Sub-Saharan Africa,0
2011,September,China Communications Construction,$220 ,,International Container Terminal Services,Logistics,,Mexico,North America,0
2011,September,China Communications Construction,$320 ,,Ferrominera Orinoco,Transport,Shipping,Venezuela,South America,0
2011,September,Sinomach,$240 ,,,Other,Education,Angola,Sub-Saharan Africa,0
2011,September,State Development and Investment Corp,$590 ,,,Agriculture,,Bangladesh,West Asia,1
2011,September,CITIC,"$1,690 ",,,Real estate,Construction,Venezuela,South America,0
2011,September,China National Chemical Engineering,$640 ,,,Energy,Gas,Turkey,West Asia,1
2011,September,Yankuang,$260 ,,North Atlantic Potash,Chemicals,,Canada,North America,0
2011,September,Xinjiang Goldwind,$200 ,,,Energy,Alternative,United States,USA,0
2011,September,Yankuang,$300 ,100%,Wesfarmers,Energy,Coal,Australia,Australia,0
2011,September,United Energy,$750 ,,BP,Energy,,Pakistan,West Asia,1
2011,September,Minmetals,"$1,280 ",100%,Anvil Mining,Metals,Copper,Dem. Rep. Congo,Sub-Saharan Africa,0
2011,September,Qingdao Tianzhong,$100 ,,,Transport,Autos,Vietnam,East Asia,1
2011,September,China Merchants,$280 ,55%,Aitken Spence,Logistics,,Sri Lanka,West Asia,1
2011,October,Sinomach,$240 ,,,Energy,Coal,Colombia,South America,0
2011,October,Sinomach,$340 ,,Siemens,Energy,Gas,Tanzania,Sub-Saharan Africa,0
2011,October,Power Construction Corp,$220 ,,Celec,Energy,Hydro,Ecuador,South America,0
2011,October,Three Gorges,$110 ,,,Energy,Hydro,Mauritius,Sub-Saharan Africa,0
2011,October,Three Gorges,$240 ,,,Energy,Hydro,Pakistan,West Asia,1
2011,October,State Construction Engineering,$120 ,,,Real estate,Construction,Qatar,Arab Middle East and North Africa,1
2011,October,State Construction Engineering,$140 ,,CapitaLand,Real estate,Construction,Vietnam,East Asia,1
2011,October,State Construction Engineering,$110 ,,,Other,Medical,Algeria,Arab Middle East and North Africa,0
2011,October,State Construction Engineering,$120 ,,,Tourism,,Algeria,Arab Middle East and North Africa,0
2011,October,China Communications Construction,$260 ,,Bolivarian Ports,Logistics,,Venezuela,South America,0
2011,October,Beijing Urban Construction,$280 ,,,Energy,Gas,Mozambique,Sub-Saharan Africa,0
2011,October,Tsingtao Beer,$100 ,,Namyong,Agriculture,,Thailand,East Asia,1
2011,October,Wanhua Industrial,$260 ,,,Chemicals,,Hungary,Europe,1
2011,October,CNPC,$400 ,,Watan,Energy,Oil,Afghanistan,West Asia,1
2011,October,Sinopec,"$2,100 ",100%,Daylight Energy,Energy,,Canada,North America,0
2011,October,China Nickel Resources,$270 ,80%,PT Yiwan Mining,Metals,,Indonesia,East Asia,1
2011,October,Soho China,$570 ,,Rockpoint,Real estate,Property,United States,USA,0
2011,October,Wolong Holding,$140 ,100%,ATB Group,Transport,Autos,Austria,Europe,0
2011,November,Sinomach,$180 ,,,Agriculture,,Sri Lanka,West Asia,1
2011,November,China Communications Construction,$460 ,,Petroquimica de Venezuela,Chemicals,,Venezuela,South America,0
2011,November,Power Construction Corp,$240 ,,PLN,Energy,Coal,Indonesia,East Asia,1
2011,November,Minmetals,$110 ,,,Energy,Hydro,Vietnam,East Asia,1
2011,November,Genertec,"$1,080 ",,,Energy,,Iraq,Arab Middle East and North Africa,1
2011,November,"Sinosteel, Power Construction Corp",$100 ,,OM Holdings,Metals,,Malaysia,East Asia,1
2011,November,State Construction Engineering,$200 ,,,Real estate,Construction,Ethiopia,Sub-Saharan Africa,1
2011,November,China Communications Construction,$140 ,,,Transport,Autos,Sri Lanka,West Asia,1
2011,November,China Communications Construction,$140 ,,,Transport,Aviation,Guyana,South America,0
2011,November,China Railway Construction,$400 ,,,Transport,Rail,Singapore,East Asia,1
2011,November,China Electronics Corporation,$180 ,,,Real estate,Construction,Saudi Arabia,Arab Middle East and North Africa,1
2011,November,CIC,$850 ,10%,GDF Suez,Energy,,Trinidad and Tobago,North America,0
2011,November,Sinopec,"$4,800 ",30%,Galp Energia,Energy,,Brazil,South America,0
2011,November,ICBC,$100 ,5%,Standard Bank,Finance,Banking,Argentina,South America,0
2011,November,Guangxi Nonferrous,$500 ,,,Metals,Steel,Cambodia,East Asia,1
2011,November,Anhui Foreign Economic Construction,$200 ,50%,Zimbabwe Mining Development,Metals,,Zimbabwe,Sub-Saharan Africa,0
2011,November,Zhouda Real Estate,$790 ,,,Real estate,Property,Malaysia,East Asia,1
2011,November,Huawei,$130 ,,,Technology,Telecom,Italy,Europe,0
2011,November,China Railway Engineering,$120 ,10%,"Transpacific, Bukit Asam",Transport,Rail,Indonesia,East Asia,1
2011,December,Harbin Electric,$480 ,,Celec,Energy,Hydro,Ecuador,South America,0
2011,December,Harbin Electric,$100 ,,,Energy,Oil,Ecuador,South America,0
2011,December,Sinopec,$850 ,,Marubeni,Energy,Oil,Kazakhstan,West Asia,1
2011,December,Power Construction Corp,$130 ,,Mazaya Qatar Real Estate Development,Real estate,Construction,Qatar,Arab Middle East and North Africa,1
2011,December,Sinoma,$260 ,,Palanca Cimentos,Real estate,Construction,Angola,Sub-Saharan Africa,0
2011,December,China Railway Engineering,"$1,140 ",,,Real estate,Construction,Angola,Sub-Saharan Africa,0
2011,December,China National Building Material,$350 ,,MIDROC,Real estate,Construction,Ethiopia,Sub-Saharan Africa,1
2011,December,State Construction Engineering,$110 ,,,Transport,Autos,United States,USA,0
2011,December,China Railway Construction,"$5,630 ",,,Transport,Rail,Chad,Sub-Saharan Africa,0
2011,December,Weihai,$150 ,,,Transport,Aviation,Togo,Sub-Saharan Africa,0
2011,December,MCC,$820 ,,CITIC,Metals,Steel,Australia,Australia,0
2011,December,China Communications Construction,$490 ,,African Minerals,Transport,Rail,Sierra Leone,Sub-Saharan Africa,0
2011,December,Shenhua,$300 ,75%,Hydro Tasmania,Energy,Alternative,Australia,Australia,0
2011,December,Yankuang,"$2,210 ",77%,Gloucester,Energy,Coal,Australia,Australia,0
2011,December,Sinopec,$990 ,10%,Australia Pacific Liquefied Natural Gas,Energy,Gas,Australia,Australia,0
2011,December,CNPC,$150 ,51%,Varun Industries,Energy,Oil,Madagascar,Sub-Saharan Africa,0
2011,December,Three Gorges,"$3,510 ",21%,Energias de Portugal,Energy,,Portugal,Europe,0
2011,December,CIC,$250 ,25%,Shanduka Group,Finance,Investment,South Africa,Sub-Saharan Africa,1
2011,December,Shougang Group,$240 ,40%,Hiap Teck Venture Berhad,Metals,Steel,Malaysia,East Asia,1
2011,December,CIC,$800 ,,,Logistics,,Japan,East Asia,0
2011,December,Three Gorges,$130 ,,,Energy,Alternative,Pakistan,West Asia,1
2011,December,Sinopec,"$3,710 ",38%,SABIC refinery,Energy,Oil,Saudi Arabia,Arab Middle East and North Africa,1
2011,December,CNPC,$270 ,50%,Bow Energy,Energy,Gas,Australia,Australia,0
2012,January,China Energy Engineering,"$1,400 ",,,Energy,Hydro,S. Sudan,Sub-Saharan Africa,0
2012,January,China Electronics Corporation,$100 ,,,Technology,Telecom,Sri Lanka,West Asia,1
2012,January,Power Construction Corp,$440 ,,Electricite du Laos,Energy,Hydro,Laos,East Asia,1
2012,January,Minmetals,$170 ,,,Transport,Autos,Liberia,Sub-Saharan Africa,0
2012,January,Sinopec,"$2,200 ",33%,Devon Energy,Energy,Gas,United States,USA,0
2012,January,CNPC,$670 ,40%,Athabasca Oil Sands,Energy,Oil,Canada,North America,0
2012,January,Jilin Nonferrous,$100 ,100%,Goldbrook Ventures,Metals,,Canada,North America,0
2012,January,CIC,$920 ,9%,Thames Water,Utilities,,United Kingdom,Europe,0
2012,January,"Sany Heavy, CITIC",$480 ,100%,Putzmeister,Real estate,Construction,Germany,Europe,0
2012,January,Shanghai Wanfeng,"$1,520 ",,,Real estate,Property,Laos,East Asia,1
2012,January,HNA,$130 ,,Assa Properties,Tourism,,United States,USA,0
2012,January,Shandong Heavy,$460 ,75%,Ferretti,Transport,Shipping,Italy,Europe,0
2012,January,China Merchants,$150 ,30%,Aitken Spence,Transport,Shipping,Sri Lanka,West Asia,1
2012,February,China Railway Construction,$940 ,,,Transport,Autos,Nigeria,Sub-Saharan Africa,0
2012,February,Three Gorges,$270 ,,SIDA,Agriculture,,Pakistan,West Asia,1
2012,February,Sinomach,$100 ,,Sinar Mas,Energy,Coal,Indonesia,East Asia,1
2012,February,Power Construction Corp,$300 ,,PDVSA,Energy,Oil,Venezuela,South America,0
2012,February,Sinoma,$240 ,,,Real estate,Construction,Benin,Sub-Saharan Africa,0
2012,February,State Construction Engineering,"$1,500 ",,,Real estate,Construction,Algeria,Arab Middle East and North Africa,0
2012,February,Huawei,$350 ,,Globe Telecom,Technology,Telecom,Philippines,East Asia,1
2012,February,China Communications Construction,$400 ,,,Transport,Autos,Belarus,Europe,1
2012,February,Three Gorges,$350 ,,,Transport,Autos,Senegal,Sub-Saharan Africa,0
2012,February,China Railway Construction,$510 ,,,Transport,Rail,Djibouti,Sub-Saharan Africa,0
2012,February,China Energy Engineering,$160 ,,,Transport,Rail,Nigeria,Sub-Saharan Africa,0
2012,February,Sinomach,$310 ,,,Utilities,,Congo,Sub-Saharan Africa,0
2012,February,Dongfang Electric,$740 ,,PLN,Energy,Coal,Indonesia,East Asia,1
2012,February,Xinjiang Goldwind,$190 ,,Mainstream Renewable Power,Energy,Alternative,Chile,South America,0
2012,February,CNPC,"$1,030 ",20%,Shell,Energy,Gas,Canada,North America,0
2012,February,Sinochem,$980 ,,Total,Energy,Gas,Colombia,South America,0
2012,February,CIC and Sinopec,$300 ,,Sunshine Oilsands,Energy,Oil,Canada,North America,0
2012,February,Sinochem,$260 ,35%,Siat,Energy,Oil,Belgium,Europe,0
2012,February,CNOOC,"$1,470 ",33%,Tullow Oil,Energy,Oil,Uganda,Sub-Saharan Africa,0
2012,February,State Grid,$510 ,25%,REN,Energy,,Portugal,Europe,0
2012,February,Golden Dragon,$100 ,,,Metals,Copper,United States,USA,0
2012,February,Guangxi Liugong Machinery,$100 ,100%,Huta Stalowa Wola,Transport,Autos,Poland,Europe,1
2012,February,China Shipping,$120 ,,,Transport,Shipping,United States,USA,0
2012,February,Guangdong Nuclear Power and China Development Bank,$990 ,,Kalahari Minerals,Metals,,United Kingdom,Europe,0
2012,March,Sinomach,$170 ,,San Buenaventura Sugar,Agriculture,,Bolivia,South America,0
2012,March,China Energy Engineering,$900 ,,Energia Azul,Energy,Hydro,Peru,South America,0
2012,March,Dalian Shipbuilding,$320 ,,Sino Tharwa,Energy,Oil,Egypt,Arab Middle East and North Africa,1
2012,March,State Grid,$550 ,,Copel,Energy,,Brazil,South America,0
2012,March,Three Gorges,$180 ,,,Energy,,Ghana,Sub-Saharan Africa,0
2012,March,Power Construction Corp,$510 ,,,Real estate,Construction,Kuwait,Arab Middle East and North Africa,1
2012,March,Power Construction Corp,"$1,420 ",,Radiant Starfish,Real estate,Construction,Malaysia,East Asia,1
2012,March,Sinoma,$210 ,,Italcementi,Real estate,Construction,Bulgaria,Europe,1
2012,March,China Communications Construction,$290 ,,,Transport,Shipping,Papua New Guinea,East Asia,0
2012,March,State Development and Investment Corp,$220 ,,Ethiopia Sugar,Agriculture,,Ethiopia,Sub-Saharan Africa,1
2012,March,Bosai,$100 ,,,Metals,Aluminum,Guyana,South America,0
2012,March,Guangdong Nuclear and China Development Bank,"$2,380 ",100%,Extract Resources,Metals,,Australia,Australia,0
2012,March,Zijin Mining,$100 ,,,Metals,,Russia,West Asia,0
2012,March,China National Building Material,$230 ,,,Other,Industry,Egypt,Arab Middle East and North Africa,1
2012,April,Sinopec,$850 ,,Ghana National Gas,Energy,Gas,Ghana,Sub-Saharan Africa,0
2012,April,Power Construction Corp,$250 ,,,Agriculture,,Sri Lanka,West Asia,1
2012,April,Sinomach,$230 ,,Albanisa,Energy,Oil,Nicaragua,North America,0
2012,April,State Construction Engineering,"$1,200 ",,,Transport,Autos,Algeria,Arab Middle East and North Africa,0
2012,April,China Railway Construction,$140 ,50%,Danya Cebus,Transport,Autos,Israel,Europe,1
2012,April,China Communications Construction,$320 ,,,Transport,Autos,Mozambique,Sub-Saharan Africa,0
2012,April,Shanghai Pengxin,$170 ,100%,Crafar Farms,Agriculture,,New Zealand,East Asia,1
2012,April,China Power Investment and AVIC,$850 ,53%,Hattat Holding,Energy,Coal,Turkey,West Asia,1
2012,April,CIC,$200 ,,Blackrock,Finance,Investment,United States,USA,0
2012,April,Norinco,$500 ,,Basic Element,Metals,Aluminum,Russia,West Asia,0
2012,April,Hebei Iron and Steel,$200 ,20%,Alderon Iron Ore,Metals,Steel,Canada,North America,0
2012,April,Xuzhou Construction Machinery,$330 ,52%,Schwing,Real estate,Construction,Germany,Europe,0
2012,May,Huadian,"$1,300 ",,Complexul Energetic Rovinari,Energy,Coal,Romania,Europe,1
2012,May,Three Gorges,$200 ,,,Energy,Hydro,Malaysia,East Asia,1
2012,May,Sinomach,$100 ,,,Energy,Alternative,Thailand,East Asia,1
2012,May,Power Construction Corp,$100 ,,,Utilities,,Angola,Sub-Saharan Africa,0
2012,May,China National Chemical Engineering,"$2,950 ",,,Real estate,Construction,United Arab Emirates,Arab Middle East and North Africa,1
2012,May,Shanghai Construction,$120 ,,,Transport,Autos,Cambodia,East Asia,1
2012,May,China Railway Construction,$990 ,,,Transport,Rail,Hungary,Europe,1
2012,May,Norinco,"$1,250 ",,Tehran Urban & Suburban Rail,Transport,Rail,Iran,West Asia,1
2012,May,China Communications Construction,$680 ,,,Transport,Shipping,Nigeria,Sub-Saharan Africa,0
2012,May,Bright Foods,"$1,940 ",60%,Weetabix,Agriculture,,United Kingdom,Europe,0
2012,May,Wanxiang,$420 ,,Great Point Energy,Energy,Alternative,United States,USA,0
2012,May,United Energy,$200 ,,,Energy,Gas,Pakistan,West Asia,1
2012,May,State Grid,$940 ,,ACS,Energy,,Brazil,South America,0
2012,May,China Construction Bank,$200 ,100%,WestLB,Finance,Banking,Brazil,South America,0
2012,May,Sinomach,$120 ,60%,Procon,Metals,,Canada,North America,0
2012,May,CIC,$420 ,5%,Polyus,Metals,,Russia,West Asia,0
2012,May,Ex-Im Bank,$240 ,,,Entertainment,,Cambodia,East Asia,1
2012,May,Dalian Wanda,"$2,600 ",100%,AMC Entertainment,Entertainment,,United States,USA,0
2012,May,China Architecture Design and Research,$150 ,100%,CPG,Real estate,Construction,Singapore,East Asia,1
2012,May,SAFE,$440 ,,Drapers Garden,Real estate,Property,United Kingdom,Europe,0
2012,May,Huawei,"$1,500 ",,,Technology,Telecom,Hungary,Europe,1
2012,May,China Ocean Shipping,$150 ,,,Logistics,,Greece,Europe,0
2012,June,Power Construction Corp,$100 ,,Electricite de Vietnam,Energy,Hydro,Vietnam,East Asia,1
2012,June,Three Gorges,$360 ,,,Energy,Hydro,Kazakhstan,West Asia,1
2012,June,Wison,$630 ,31%,PDVSA,Energy,Oil,Venezuela,South America,0
2012,June,Sinomach,$170 ,,,Energy,,Bangladesh,West Asia,1
2012,June,State Construction Engineering,$170 ,,Hotel Investment Company,Other,Education,Algeria,Arab Middle East and North Africa,0
2012,June,State Construction Engineering,$100 ,,,Transport,Autos,United States,USA,0
2012,June,China Communications Construction,$160 ,,,Transport,Aviation,S. Sudan,Sub-Saharan Africa,0
2012,June,China Communications Construction,"$1,580 ",,,Transport,Rail,Ethiopia,Sub-Saharan Africa,1
2012,June,China Communications Construction,$200 ,,Electricite de Vietnam,Transport,Shipping,Vietnam,East Asia,1
2012,June,China Nonferrous,$110 ,,HZL,Metals,,India,West Asia,1
2012,June,Sinopec,$150 ,,Aramco,Energy,Oil,Saudi Arabia,Arab Middle East and North Africa,1
2012,June,Hanergy,$510 ,100%,Solibro,Energy,Alternative,Germany,Europe,0
2012,June,Tebian Electric Apparatus,$200 ,,,Energy,,India,West Asia,1
2012,June,Xinjiang Hualing,$100 ,90%,Basisbank,Finance,Banking,Georgia,West Asia,1
2012,June,CIC,$900 ,50%,RCIF,Finance,,Russia,West Asia,0
2012,June,China Nickel Resources,"$1,260 ",61%,PT Jhonlinto,Metals,Steel,Indonesia,East Asia,1
2012,June,China Railway Engineering,$410 ,,C.V.G. Ferrominera Orinoco,Metals,Steel,Venezuela,South America,0
2012,June,Zijin Mining,$240 ,100%,Norton Gold,Metals,,Australia,Australia,0
2012,June,Tencent,$330 ,40%,Epic Games,Entertainment,,United States,USA,0
2012,June,SAFE,$200 ,10%,Veolia Water,Utilities,,United Kingdom,Europe,0
2012,June,CIC,$490 ,7%,Eutelsat,Technology,Telecom,France,Europe,0
2012,June,Huadian,$590 ,,,Energy,,Russia,West Asia,0
2012,June,Chery Auto,$120 ,,,Transport,Autos,Turkey,West Asia,1
2012,July,Sinomach,$200 ,,,Agriculture,,Zimbabwe,Sub-Saharan Africa,0
2012,July,State Construction Engineering,"$1,750 ",,,Energy,Hydro,Kenya,Sub-Saharan Africa,0
2012,July,Three Gorges,$210 ,,,Energy,Hydro,Cameroon,Sub-Saharan Africa,0
2012,July,State Grid,"$1,310 ",,Venezuela National Electric,Energy,,Venezuela,South America,0
2012,July,China Railway Engineering,$360 ,,,Real estate,Construction,Ghana,Sub-Saharan Africa,0
2012,July,China Communications Construction,$460 ,,,Transport,Autos,Cameroon,Sub-Saharan Africa,0
2012,July,Jiangxi Zhongmei,$590 ,,,Transport,Autos,Kenya,Sub-Saharan Africa,0
2012,July,China Communications Construction,$730 ,,,Transport,Autos,Jamaica,North America,0
2012,July,China Communications Construction,$120 ,,,Transport,Autos,Rwanda,Sub-Saharan Africa,0
2012,July,China Communications Construction,$450 ,,,Transport,Autos,Kenya,Sub-Saharan Africa,0
2012,July,China Railway Construction,"$1,450 ",,,Transport,Rail,Nigeria,Sub-Saharan Africa,0
2012,July,China Communications Construction,"$2,720 ",,,Transport,Rail,Kenya,Sub-Saharan Africa,0
2012,July,China Communications Construction,$200 ,,,Agriculture,,Ghana,Sub-Saharan Africa,0
2012,July,Beijing Shenwu,$420 ,,Titan Mineral,Metals,Steel,Indonesia,East Asia,1
2012,July,Beijing Shenwu,$180 ,,Balinton Resources,Metals,,Indonesia,East Asia,1
2012,July,China Electric Equipment,$600 ,,,Energy,Alternative,Turkey,West Asia,1
2012,July,Sinopec,"$1,500 ",49%,Talisman Energy,Energy,Oil,United Kingdom,Europe,0
2012,July,SAFE,"$1,500 ",,GM,Finance,Investment,United States,USA,0
2012,July,China Copper Mines,$100 ,,,Metals,Copper,Zambia,Sub-Saharan Africa,0
2012,July,SAFE,$500 ,,Blackstone,Real estate,Property,United States,USA,0
2012,July,Sichuan Bohong,$250 ,100%,Wescast Industries,Transport,Autos,Canada,North America,0
2012,July,China South Locomotive,$130 ,,,Transport,Rail,Malaysia,East Asia,1
2012,August,China Energy Engineering,$500 ,,,Energy,Coal,Malawi,Sub-Saharan Africa,0
2012,August,Three Gorges,$300 ,,Laotian Electric Power Company,Energy,Hydro,Laos,East Asia,1
2012,August,Sinopec,$140 ,,KenGen,Energy,,Kenya,Sub-Saharan Africa,0
2012,August,China Energy Engineering,$130 ,,,Utilities,,Iraq,Arab Middle East and North Africa,1
2012,August,State Construction Engineering,$230 ,,,Tourism,,Pakistan,West Asia,1
2012,August,Sinomach,$190 ,,,Energy,,Kazakhstan,West Asia,1
2012,August,Sinomach,$120 ,,,Transport,Autos,C?te d'Ivoire,Sub-Saharan Africa,0
2012,August,Wanbao Grain,$290 ,,,Agriculture,,Mozambique,Sub-Saharan Africa,0
2012,August,Huadian,$640 ,,,Energy,Coal,Indonesia,East Asia,1
2012,August,CIC,$500 ,,Cheniere Energy,Energy,Gas,United States,USA,0
2012,August,Zhejiang Huayou Cobalt,$350 ,,,Metals,,Dem. Rep. Congo,Sub-Saharan Africa,0
2012,August,China Merchants,$190 ,50%,Thesar Maritime,Logistics,,Togo,Sub-Saharan Africa,0
2012,September,Sinomach,$310 ,,,Utilities,,Bangladesh,West Asia,1
2012,September,China Railway Engineering,$510 ,,Sithe Global,Energy,Hydro,Guyana,South America,0
2012,September,Sinoma,$190 ,,Southern Province Cement,Real estate,Construction,Saudi Arabia,Arab Middle East and North Africa,1
2012,September,China Communications Construction,$730 ,,,Transport,Autos,Mozambique,Sub-Saharan Africa,0
2012,September,China Communications Construction,$160 ,,Saudi Global Ports,Transport,Shipping,Saudi Arabia,Arab Middle East and North Africa,1
2012,September,China Communications Construction,$700 ,,Vale,Transport,Shipping,Mozambique,Sub-Saharan Africa,0
2012,September,China Communications Construction,$150 ,,,Transport,Shipping,Ghana,Sub-Saharan Africa,0
2012,September,Sinomach,$210 ,,,Utilities,,S. Sudan,Sub-Saharan Africa,0
2012,September,CNPC,"$2,920 ",,,Energy,Gas,Turkmenistan,West Asia,1
2012,September,CNPC,"$2,040 ",,,Energy,Gas,Uzbekistan,West Asia,1
2012,September,CNPC,$150 ,,,Energy,Gas,Kazakhstan,West Asia,1
2012,September,Harbin Electric,$230 ,,,Energy,Coal,Uzbekistan,West Asia,1
2012,September,Power Construction Corp,$130 ,,,Transport,Autos,Georgia,West Asia,1
2012,September,Shandong Ruyi,$260 ,80%,Lempriere Property,Agriculture,,Australia,Australia,0
2012,September,Synutra,$120 ,,Sodiaal,Agriculture,,France,Europe,0
2012,September,Shandong Energy,$210 ,100%,Rocklands Richfield,Energy,Coal,Australia,Australia,0
2012,September,China Power Investment,$130 ,,,Energy,,Nigeria,Sub-Saharan Africa,0
2012,September,China Nonferrous,$830 ,,,Metals,Copper,Zambia,Sub-Saharan Africa,0
2012,September,Sinomach,$100 ,,,Metals,Steel,Uganda,Sub-Saharan Africa,0
2012,September,Wuhan Iron and Steel,$450 ,100%,ThyssenKrupp,Metals,Steel,Germany,Europe,0
2012,September,Shandong Gold,$240 ,51%,Focus Minerals,Metals,,Australia,Australia,0
2012,September,Shandong Heavy,$930 ,25%,Kion,Real estate,Construction,Germany,Europe,0
2012,September,BGI,$120 ,100%,Complete Genomics,Other,Medical,United States,USA,0
2012,September,Xinwei,$300 ,,,Technology,Telecom,Nicaragua,North America,0
2012,September,Lenovo,$150 ,100%,Digibras and Dual,Technology,,Brazil,South America,0
2012,September,BAIC,$300 ,,,Transport,Autos,Brazil,South America,0
2012,September,Harbin Electric,$130 ,50%,Hattat,Energy,,Turkey,West Asia,1
2012,October,Sinomach,$320 ,,,Agriculture,,Sudan,Arab Middle East and North Africa,0
2012,October,Shanghai Electric,$200 ,,Utico,Energy,Coal,United Arab Emirates,Arab Middle East and North Africa,1
2012,October,China Energy Engineering,$210 ,,SUMMIT,Energy,Gas,Bangladesh,West Asia,1
2012,October,MCC,"$2,290 ",,Formosa Plastics,Metals,Steel,Vietnam,East Asia,1
2012,October,China Railway Construction,$150 ,,,Utilities,,Zambia,Sub-Saharan Africa,0
2012,October,China Communications Construction,$660 ,,,Transport,Autos,Gabon,Sub-Saharan Africa,0
2012,October,China Communications Construction,"$1,150 ",,,Transport,Rail,Kenya,Sub-Saharan Africa,0
2012,October,Sinomach,$100 ,,,Tourism,,Laos,East Asia,1
