Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2008,January,State Grid,"$1,580 ",40%,Monto Oro Grid,Energy,,Philippines,East Asia,1
2008,February,China Railway Construction,"$2,600 ",,,Transport,Rail,Libya,Arab Middle East and North Africa,0
2008,February,CNPC,$560 ,,Ma'aden,Chemicals,,Saudi Arabia,Arab Middle East and North Africa,1
2008,February,Sinoma,"$1,180 ",,Dangote,Real estate,Construction,Nigeria,Sub-Saharan Africa,0
2008,February,Sinochem,$470 ,17%,Soco,Energy,Oil,Yemen,Arab Middle East and North Africa,1
2008,February,Chinalco,"$12,800 ",11%,Rio Tinto,Metals,Aluminum,Australia,Australia,0
2008,February,Minmetals and Xinxing Iron,"$1,200 ","20%, 35%",Kelachandra and Manasara,Metals,Steel,India,West Asia,1
2008,February,MCC,$370 ,,Cape Lambert Iron,Metals,Steel,Australia,Australia,0
2008,March,China National Building Material,$160 ,,Oman Cement,Real estate,Construction,Oman,Arab Middle East and North Africa,1
2008,March,China Railway Engineering,$100 ,,,Real estate,Construction,Angola,Sub-Saharan Africa,0
2008,March,China Railway Engineering,$260 ,,,Transport,Rail,Morocco,Arab Middle East and North Africa,1
2008,March,Sinopec,$560 ,60%,AED,Energy,Oil,Australia,Australia,0
2008,March,Huaneng Power,"$3,040 ",100%,Tuas Power,Energy,,Singapore,East Asia,1
2008,March,China Life,$260 ,1%,Visa,Finance,,United States,USA,0
2008,March,CIC,$100 ,,Visa,Finance,,United States,USA,0
2008,March,Mindray Medical,$200 ,,Datascope,Other,Medical,United States,USA,0
2008,April,Three Gorges,$100 ,,,Agriculture,,Sudan,Arab Middle East and North Africa,0
2008,April,Sinomach,$640 ,,PLN,Energy,Coal,Indonesia,East Asia,1
2008,April,Sinhydro and Three Gorges,$400 ,,,Energy,Hydro,Sudan,Arab Middle East and North Africa,0
2008,April,Three Gorges,$160 ,,,Utilities,,Algeria,Arab Middle East and North Africa,0
2008,April,CNOOC,$130 ,50%,Husky Energy,Energy,Gas,Indonesia,East Asia,1
2008,April,SAFE,"$2,800 ",2%,Total,Energy,,France,Europe,0
2008,April,SAFE,"$2,010 ",1%,BP,Energy,,United Kingdom,Europe,0
2008,April,CIC,"$1,400 ",80%,JC Flowers fund,Finance,Investment,United States,USA,0
2008,April,Hopu Investment,$150 ,,Lung Ming,Metals,Steel,Mongolia,East Asia,1
2008,May,Sinohydro,$150 ,,Sarawak Energy,Energy,,Malaysia,East Asia,1
